Departamento,Municipio,Tipo_Cultivo,Cultivo,Hectareas_sembradas,Hectareas_cosechadas,Toneladas
Cauca,Lopez De Micay,Frutales,Guama,4,3,29
Cauca,Lopez De Micay,Frutales,Guanabana,8,4,11
Cauca,Lopez De Micay,Frutales,Guayaba,4,2,5
Cauca,Lopez De Micay,Frutales,Limon,6,5,5
Cauca,Lopez De Micay,Frutales,Lulo,5,3,12
Cauca,Lopez De Micay,Frutales,Naranja,7,6,28
Cauca,Lopez De Micay,Frutales,Pepa De Pan,5,4,2
Cauca,Lopez De Micay,Frutales,Pina,11,9,43
Cauca,Lopez De Micay,Hortalizas,Ahuyama,2,2,4
Cauca,Lopez De Micay,Hortalizas,Aji,2,2,2
Cauca,Lopez De Micay,Hortalizas,Cebolla De Rama,4,4,25
Cauca,Lopez De Micay,Hortalizas,Cilantro,2,2,2
Cauca,Lopez De Micay,Hortalizas,Pepino Cohombro,2,2,4
Cauca,Lopez De Micay,Hortalizas,Pimenton,2,2,2
Cauca,Lopez De Micay,Hortalizas,Tomate,2,2,7
Cauca,Lopez De Micay,Leguminosas,Frijol,2,2,1
Cauca,Lopez De Micay,Otros Permanentes,Cacao,90,50,15
Cauca,Lopez De Micay,Otros Permanentes,Cana Panelera,100,70,560
Cauca,Lopez De Micay,Plantas Aromaticas Condimentarias Y Medicinales,Albahaca,2,2,10
Cauca,Lopez De Micay,Plantas Aromaticas Condimentarias Y Medicinales,Cimarron,3,2,2
Cauca,Lopez De Micay,Tuberculos Y Platanos,Malanga,80,60,480
Cauca,Lopez De Micay,Tuberculos Y Platanos,Platano,39,24,96
Cauca,Lopez De Micay,Tuberculos Y Platanos,Yuca,8,8,75
Cauca,Mercaderes,Cereales,Maiz,3750,3600,3960
Cauca,Mercaderes,Frutales,Limon,253,213,1275
Cauca,Mercaderes,Frutales,Mandarina,10,10,29
Cauca,Mercaderes,Frutales,Mango,82,77,256
Cauca,Mercaderes,Frutales,Melon,65,55,825
Cauca,Mercaderes,Frutales,Naranja,60,60,238
Cauca,Mercaderes,Frutales,Papaya,12,10,30
Cauca,Mercaderes,Frutales,Patilla,96,46,92
Cauca,Mercaderes,Frutales,Pina,9,7,28
Cauca,Mercaderes,Hortalizas,Ahuyama,122,62,227
Cauca,Mercaderes,Hortalizas,Pepino Cohombro,4,3,6
Cauca,Mercaderes,Hortalizas,Pimenton,6,5,10
Cauca,Mercaderes,Hortalizas,Tomate,32,31,310
Cauca,Mercaderes,Leguminosas,Frijol,688,590,590
Cauca,Mercaderes,Leguminosas,Habichuela,10,8,24
Cauca,Mercaderes,Leguminosas,Mani,1264,1250,2500
Cauca,Mercaderes,Oleaginosas,Sacha Inchi,4,4,40
Cauca,Mercaderes,Otros Permanentes,Cacao,521,509,255
Cauca,Mercaderes,Otros Permanentes,Cafe,918,808,680
Cauca,Mercaderes,Otros Permanentes,Cana Panelera,160,140,560
Cauca,Mercaderes,Plantas Aromaticas Condimentarias Y Medicinales,Sabila,1,1,10
Cauca,Mercaderes,Tuberculos Y Platanos,Arracacha,23,10,100
Cauca,Mercaderes,Tuberculos Y Platanos,Platano,591,566,1132
Cauca,Mercaderes,Tuberculos Y Platanos,Yuca,200,55,935
Cauca,Miranda,Cereales,Maiz,90,88,239
Cauca,Miranda,Frutales,Banano,21,21,157
Cauca,Miranda,Frutales,Guayaba,5,5,83
Cauca,Miranda,Frutales,Lulo,3,3,33
Cauca,Miranda,Frutales,Mora,2,2,25
Cauca,Miranda,Frutales,Naranja,27,27,515
Cauca,Miranda,Frutales,Tomate De Arbol,2,2,31
Cauca,Miranda,Hortalizas,Cebolla De Rama,7,5,27
Cauca,Miranda,Hortalizas,Cilantro,9,8,55
Cauca,Miranda,Hortalizas,Pepino Cohombro,19,18,283
Cauca,Miranda,Hortalizas,Tomate,22,19,480
Cauca,Miranda,Leguminosas,Arveja,17,15,12
Cauca,Miranda,Leguminosas,Frijol,25,22,48
Cauca,Miranda,Leguminosas,Habichuela,21,20,166
Cauca,Miranda,Otros Permanentes,Cacao,93,93,46
Cauca,Miranda,Otros Permanentes,Cafe,628,518,654
Cauca,Miranda,Otros Permanentes,Cana Azucarera,6362,5198,696842
Cauca,Miranda,Tuberculos Y Platanos,Platano,140,140,1886
Cauca,Miranda,Tuberculos Y Platanos,Yuca,18,17,425
Cauca,Morales,Cereales,Maiz,95,95,130
Cauca,Morales,Frutales,Aguacate,120,110,660
Cauca,Morales,Frutales,Citricos,30,0,0
Cauca,Morales,Hortalizas,Aji,8,0,0
Cauca,Morales,Leguminosas,Frijol,100,100,53
Cauca,Morales,Otros Permanentes,Cacao,40,0,0
Cauca,Morales,Otros Permanentes,Cafe,7041,5957,7530
Cauca,Morales,Otros Permanentes,Cana Panelera,930,910,5528
Cauca,Morales,Tuberculos Y Platanos,Yuca,225,225,4150
Cauca,Padilla,Cereales,Arroz,57,55,282
Cauca,Padilla,Cereales,Maiz,30,30,90
Cauca,Padilla,Frutales,Aguacate,1,1,3
Cauca,Padilla,Frutales,Guayaba,20,17,119
Cauca,Padilla,Frutales,Lima,11,7,49
Cauca,Padilla,Frutales,Limon,13,8,56
Cauca,Padilla,Frutales,Mandarina,6,6,18
Cauca,Padilla,Frutales,Naranja,9,9,48
Cauca,Padilla,Hortalizas,Ahuyama,10,8,120
Cauca,Padilla,Hortalizas,Cilantro,2,2,4
Cauca,Padilla,Leguminosas,Habichuela,10,8,32
Cauca,Padilla,Otros Permanentes,Cacao,68,18,7
Cauca,Padilla,Otros Permanentes,Cana Azucarera,5653,4754,613855
Cauca,Padilla,Plantas Aromaticas Condimentarias Y Medicinales,Cimarron,2,2,4
Cauca,Padilla,Tuberculos Y Platanos,Platano,34,4,48
Cauca,Padilla,Tuberculos Y Platanos,Yuca,15,10,99
Cauca,Paez,Cereales,Maiz,3197,3036,5423
Cauca,Paez,Frutales,Mora,93,81,567
Cauca,Paez,Frutales,Pitahaya,13,10,100
Cauca,Paez,Frutales,Tomate De Arbol,26,20,60
Cauca,Paez,Hortalizas,Cebolla De Rama,20,19,127
Cauca,Paez,Hortalizas,Hortalizas Varias,15,12,15
Cauca,Paez,Leguminosas,Frijol,1510,1488,2894
Cauca,Paez,Otros Permanentes,Cafe,5324,4588,6573
Cauca,Paez,Otros Permanentes,Cana Panelera,255,245,1715
Cauca,Paez,Plantas Aromaticas Condimentarias Y Medicinales,Plantas Aromaticas,6,4,3
Cauca,Paez,Tuberculos Y Platanos,Arracacha,70,65,780
Cauca,Paez,Tuberculos Y Platanos,Papa,127,119,1428
Cauca,Paez,Tuberculos Y Platanos,Platano,573,13,91
Cauca,Paez,Tuberculos Y Platanos,Yuca,161,148,780
Cauca,Patia,Cereales,Arroz,546,546,2403
Cauca,Patia,Cereales,Maiz,324,324,1107
Cauca,Patia,Frutales,Guanabana,13,6,72
Cauca,Patia,Frutales,Limon,265,213,634
Cauca,Patia,Frutales,Lulo,9,3,60
Cauca,Patia,Frutales,Mango,22,20,40
Cauca,Patia,Frutales,Maracuya,16,11,221
Cauca,Patia,Frutales,Melon,18,16,400
Cauca,Patia,Frutales,Naranja,163,93,2790
Cauca,Patia,Frutales,Papaya,7,2,50
Cauca,Patia,Frutales,Patilla,18,18,426
Cauca,Patia,Hortalizas,Ahuyama,25,22,430
Cauca,Patia,Leguminosas,Frijol,27,27,22
Cauca,Patia,Leguminosas,Mani,15,15,75
Cauca,Patia,Otros Permanentes,Cacao,113,5,3
Cauca,Patia,Otros Permanentes,Cafe,1856,1676,2674
Cauca,Patia,Otros Permanentes,Cana Panelera,358,258,1159
Cauca,Patia,Tuberculos Y Platanos,Platano,1236,1208,5236
Cauca,Patia,Tuberculos Y Platanos,Yuca,7,7,70
Cauca,Piamonte,Cereales,Arroz,55,47,141
Cauca,Piamonte,Cereales,Maiz,162,152,90
Cauca,Piamonte,Frutales,Pina,53,47,329
Cauca,Piamonte,Oleaginosas,Sacha Inchi,42,27,14
Cauca,Piamonte,Otros Permanentes,Cacao,360,0,0
Cauca,Piamonte,Tuberculos Y Platanos,Platano,400,375,3000
Cauca,Piamonte,Tuberculos Y Platanos,Yuca,161,140,1163
Cauca,Piendamo,Cereales,Maiz,40,40,154
Cauca,Piendamo,Flores Y Follajes,Flores Y Follajes,32,32,123
Cauca,Piendamo,Frutales,Aguacate,89,71,283
Cauca,Piendamo,Hortalizas,Tomate,8,8,640
Cauca,Piendamo,Leguminosas,Frijol,27,27,41
Cauca,Piendamo,Otros Permanentes,Cafe,8494,7134,9426
Cauca,Piendamo,Otros Permanentes,Cana Panelera,190,175,1120
Cauca,Piendamo,Tuberculos Y Platanos,Yuca,20,20,200
Cauca,Popayan,Cereales,Maiz,4,3,5
Cauca,Popayan,Cereales,Quinua,10,3,3
Cauca,Popayan,Fibras,Fique,1,1,2
Cauca,Popayan,Frutales,Aguacate,49,1,8
Cauca,Popayan,Frutales,Frutales Varios,1,1,18
Cauca,Popayan,Frutales,Limon,1,1,2
Cauca,Popayan,Frutales,Lulo,3,2,50
Cauca,Popayan,Frutales,Mora,5,3,18
Cauca,Popayan,Frutales,Pina,3,3,21
Cauca,Popayan,Hortalizas,Aji,0,0,1
Cauca,Popayan,Hortalizas,Hortalizas Varias,13,6,3
Cauca,Popayan,Hortalizas,Tomate,0,0,3
Cauca,Popayan,Leguminosas,Arveja,2,1,1
Cauca,Popayan,Leguminosas,Frijol,4,2,1
Cauca,Popayan,Leguminosas,Habichuela,3,3,15
Cauca,Popayan,Oleaginosas,Sacha Inchi,2,1,2
Cauca,Popayan,Otros Permanentes,Cafe,3552,3132,2903
Cauca,Popayan,Otros Permanentes,Cana Panelera,953,653,3918
Cauca,Popayan,Otros Permanentes,Morera,1,1,7
Cauca,Popayan,Plantas Aromaticas Condimentarias Y Medicinales,Plantas Aromaticas,1,1,10
Cauca,Popayan,Plantas Aromaticas Condimentarias Y Medicinales,Sabila,2,1,1
Cauca,Popayan,Tuberculos Y Platanos,Papa,15,14,156
Cauca,Popayan,Tuberculos Y Platanos,Platano,3,3,30
Cauca,Popayan,Tuberculos Y Platanos,Yuca,10,5,35
Cauca,Puerto Tejada,Cereales,Maiz,102,96,488
Cauca,Puerto Tejada,Frutales,Citricos,51,51,767
Cauca,Puerto Tejada,Hortalizas,Ahuyama,11,8,48
Cauca,Puerto Tejada,Otros Permanentes,Cacao,46,46,23
Cauca,Puerto Tejada,Otros Permanentes,Cana Azucarera,7966,6495,879826
Cauca,Puerto Tejada,Tuberculos Y Platanos,Platano,58,54,810
Cauca,Puerto Tejada,Tuberculos Y Platanos,Yuca,3,3,60
Cauca,Purace,Cereales,Maiz,35,32,46
Cauca,Purace,Frutales,Fresa,36,31,341
Cauca,Purace,Frutales,Mora,13,10,70
Cauca,Purace,Leguminosas,Frijol,25,22,31
Cauca,Purace,Otros Permanentes,Cafe,388,363,245
Cauca,Purace,Tuberculos Y Platanos,Arracacha,3,3,49
Cauca,Purace,Tuberculos Y Platanos,Papa,1598,1513,28347
Cauca,Rosas,Cereales,Maiz,39,36,76
Cauca,Rosas,Frutales,Chontaduro,6,4,4
Cauca,Rosas,Frutales,Fresa,1,1,3
Cauca,Rosas,Frutales,Pitahaya,1,0,0
Cauca,Rosas,Hortalizas,Tomate,3,2,173
Cauca,Rosas,Leguminosas,Frijol,56,50,52
Cauca,Rosas,Leguminosas,Habichuela,7,6,87
Cauca,Rosas,Otros Permanentes,Cacao,50,50,25
Cauca,Rosas,Otros Permanentes,Cafe,1368,1181,995
Cauca,Rosas,Otros Permanentes,Cana Panelera,559,529,4232
Cauca,Rosas,Plantas Aromaticas Condimentarias Y Medicinales,Sabila,2,0,0
Cauca,Rosas,Tuberculos Y Platanos,Arracacha,2,2,2
Cauca,Rosas,Tuberculos Y Platanos,Papa,4,4,48
Cauca,Rosas,Tuberculos Y Platanos,Platano,135,135,1350
Cauca,Rosas,Tuberculos Y Platanos,Yuca,90,69,69
Cauca,San Sebastian,Cereales,Maiz,210,210,420
Cauca,San Sebastian,Cereales,Quinua,140,140,490
Cauca,San Sebastian,Cereales,Trigo,2,2,4
Cauca,San Sebastian,Hortalizas,Cebolla De Rama,17,15,83
Cauca,San Sebastian,Hortalizas,Hortalizas Varias,16,16,144
Cauca,San Sebastian,Hortalizas,Tomate,17,17,152
Cauca,San Sebastian,Leguminosas,Arveja,31,31,29
Cauca,San Sebastian,Leguminosas,Frijol,22,22,26
Cauca,San Sebastian,Otros Permanentes,Cafe,279,222,187
Cauca,San Sebastian,Otros Permanentes,Cana Panelera,170,160,480
Cauca,San Sebastian,Tuberculos Y Platanos,Papa,200,200,536
Cauca,Santa Rosa,Cereales,Maiz,215,210,441
Cauca,Santa Rosa,Frutales,Chontaduro,31,11,55
Cauca,Santa Rosa,Frutales,Granadilla,11,11,21
Cauca,Santa Rosa,Frutales,Lulo,10,10,50
Cauca,Santa Rosa,Frutales,Pina,14,14,21
Cauca,Santa Rosa,Hortalizas,Hortalizas Varias,11,11,242
Cauca,Santa Rosa,Hortalizas,Tomate,8,5,54
Cauca,Santa Rosa,Leguminosas,Frijol,120,106,106
Cauca,Santa Rosa,Otros Permanentes,Cacao,121,71,36
Cauca,Santa Rosa,Otros Permanentes,Cana Panelera,307,304,911
Cauca,Santa Rosa,Tuberculos Y Platanos,Papa,2,2,36
Cauca,Santa Rosa,Tuberculos Y Platanos,Platano,320,315,630
Cauca,Santa Rosa,Tuberculos Y Platanos,Yuca,43,43,215
Cauca,Santander De Quilichao,Cereales,Arroz,1190,1190,6475
Cauca,Santander De Quilichao,Cereales,Maiz,76,74,218
Cauca,Santander De Quilichao,Frutales,Pina,953,922,63874
Cauca,Santander De Quilichao,Leguminosas,Frijol,82,82,86
Cauca,Santander De Quilichao,Otros Permanentes,Cafe,3613,3145,3562
Cauca,Santander De Quilichao,Otros Permanentes,Cana Azucarera,6252,4491,538460
Cauca,Santander De Quilichao,Otros Permanentes,Cana Panelera,287,287,1722
Cauca,Santander De Quilichao,Tuberculos Y Platanos,Platano,357,357,5355
Cauca,Santander De Quilichao,Tuberculos Y Platanos,Yuca,500,450,6750
Cauca,Silvia,Cereales,Maiz,150,150,225
Cauca,Silvia,Cereales,Trigo,5,5,10
Cauca,Silvia,Fibras,Fique,485,485,582
Cauca,Silvia,Flores Y Follajes,Flores Y Follajes,20,20,429
Cauca,Silvia,Frutales,Fresa,39,20,400
Cauca,Silvia,Frutales,Granadilla,5,4,6
Cauca,Silvia,Frutales,Mora,16,15,60
Cauca,Silvia,Frutales,Uchuva,53,43,344
Cauca,Silvia,Hortalizas,Ajo,11,11,66
Cauca,Silvia,Hortalizas,Brocoli,26,26,638
Cauca,Silvia,Hortalizas,Cebolla De Bulbo,2,2,10
Cauca,Silvia,Hortalizas,Cebolla De Rama,40,38,190
Cauca,Silvia,Hortalizas,Coliflor,12,12,345
Cauca,Silvia,Hortalizas,Lechuga,8,7,240
Cauca,Silvia,Leguminosas,Arveja,19,17,18
Cauca,Silvia,Leguminosas,Frijol,60,60,63
Cauca,Silvia,Otros Permanentes,Cana Panelera,54,44,264
Cauca,Silvia,Tuberculos Y Platanos,Arracacha,4,4,60
Cauca,Silvia,Tuberculos Y Platanos,Papa,470,440,10560
Cauca,Silvia,Tuberculos Y Platanos,Ulluco,80,78,1404
Cauca,Silvia,Tuberculos Y Platanos,Yuca,5,5,25
Cauca,Sotara,Cereales,Maiz,80,68,54
Cauca,Sotara,Cereales,Quinua,13,12,8
Cauca,Sotara,Cereales,Trigo,10,10,8
Cauca,Sotara,Frutales,Aguacate,134,134,938
Cauca,Sotara,Frutales,Fresa,180,180,2160
Cauca,Sotara,Frutales,Granadilla,53,53,265
Cauca,Sotara,Frutales,Lulo,80,80,280
Cauca,Sotara,Frutales,Mora,26,26,104
Cauca,Sotara,Frutales,Tomate De Arbol,68,68,816
Cauca,Sotara,Hortalizas,Hortalizas Varias,49,30,87
Cauca,Sotara,Hortalizas,Zanahoria,17,11,55
Cauca,Sotara,Leguminosas,Arveja,79,62,37
Cauca,Sotara,Leguminosas,Frijol,49,48,50
Cauca,Sotara,Otros Permanentes,Cafe,892,765,644
Cauca,Sotara,Otros Permanentes,Cana Panelera,16,16,56
Cauca,Sotara,Plantas Aromaticas Condimentarias Y Medicinales,Sabila,4,4,6
Cauca,Sotara,Tuberculos Y Platanos,Papa,649,520,11940
Cauca,Sotara,Tuberculos Y Platanos,Platano,160,160,1088
Cauca,Sotara,Tuberculos Y Platanos,Ulluco,50,40,720
Cauca,Sotara,Tuberculos Y Platanos,Yuca,30,30,300
Cauca,Suarez,Cereales,Maiz,160,125,213
Cauca,Suarez,Frutales,Naranja,70,70,1260
Cauca,Suarez,Hortalizas,Tomate,2,2,120
Cauca,Suarez,Leguminosas,Frijol,60,48,81
Cauca,Suarez,Otros Permanentes,Cacao,242,242,145
Cauca,Suarez,Otros Permanentes,Cafe,3471,2956,3263
Cauca,Suarez,Otros Permanentes,Cana Panelera,166,136,952
Cauca,Suarez,Plantas Aromaticas Condimentarias Y Medicinales,Cardamomo,29,29,29
Cauca,Suarez,Plantas Aromaticas Condimentarias Y Medicinales,Sabila,31,31,186
Cauca,Suarez,Tuberculos Y Platanos,Platano,440,440,3080
Cauca,Suarez,Tuberculos Y Platanos,Yuca,25,15,225
Cauca,Sucre,Cereales,Arroz,7,7,22
Cauca,Sucre,Cereales,Maiz,30,30,27
Cauca,Sucre,Frutales,Limon,19,2,4
Cauca,Sucre,Frutales,Lulo,12,2,4
Cauca,Sucre,Frutales,Mora,11,3,6
Cauca,Sucre,Frutales,Pina,10,2,4
Cauca,Sucre,Hortalizas,Tomate,10,10,31
Cauca,Sucre,Leguminosas,Frijol,37,35,75
Cauca,Sucre,Otros Permanentes,Cacao,47,2,1
Cauca,Sucre,Otros Permanentes,Cafe,1533,1285,2343
Cauca,Sucre,Otros Permanentes,Cana Panelera,268,13,39
Cauca,Sucre,Tuberculos Y Platanos,Arracacha,10,10,32
Cauca,Sucre,Tuberculos Y Platanos,Platano,314,14,28
Cauca,Sucre,Tuberculos Y Platanos,Yuca,17,17,54
Cauca,Timbio,Cereales,Maiz,408,339,842
Cauca,Timbio,Frutales,Aguacate,127,103,412
Cauca,Timbio,Hortalizas,Acelga,26,22,92
Cauca,Timbio,Hortalizas,Cilantro,27,23,385
Cauca,Timbio,Hortalizas,Espinaca,24,22,288
Cauca,Timbio,Hortalizas,Lechuga,23,20,265
Cauca,Timbio,Hortalizas,Tomate,179,170,3002
Cauca,Timbio,Leguminosas,Arveja,28,24,41
Cauca,Timbio,Leguminosas,Frijol,294,252,346
Cauca,Timbio,Leguminosas,Habichuela,61,55,260
Cauca,Timbio,Otros Permanentes,Cacao,199,199,119
Cauca,Timbio,Otros Permanentes,Cafe,4300,3604,3948
Cauca,Timbio,Otros Permanentes,Cana Panelera,70,63,268
Cauca,Timbio,Tuberculos Y Platanos,Arracacha,72,67,301
Cauca,Timbio,Tuberculos Y Platanos,Platano,1132,581,2331
Cauca,Timbio,Tuberculos Y Platanos,Yuca,1468,1468,6973
Cauca,Timbiqui,Frutales,Coco,2520,2220,22200
Cauca,Timbiqui,Otros Permanentes,Cana Panelera,258,238,1190
Cauca,Timbiqui,Tuberculos Y Platanos,Malanga,325,300,3000
Cauca,Timbiqui,Tuberculos Y Platanos,Platano,440,440,3520
Cauca,Toribio,Cereales,Quinua,5,4,3
Cauca,Toribio,Cereales,Trigo,3,3,2
Cauca,Toribio,Frutales,Granadilla,7,5,60
Cauca,Toribio,Frutales,Gulupa,54,51,764
Cauca,Toribio,Frutales,Lulo,13,8,88
Cauca,Toribio,Frutales,Mora,10,7,42
Cauca,Toribio,Frutales,Tomate De Arbol,9,5,59
Cauca,Toribio,Hortalizas,Brocoli,0,0,2
Cauca,Toribio,Hortalizas,Cebolla De Bulbo,1,0,1
Cauca,Toribio,Hortalizas,Cebolla De Rama,14,14,210
Cauca,Toribio,Hortalizas,Cilantro,4,4,20
Cauca,Toribio,Hortalizas,Lechuga,2,2,32
Cauca,Toribio,Hortalizas,Pimenton,1,0,2
Cauca,Toribio,Hortalizas,Puerro,1,0,1
Cauca,Toribio,Hortalizas,Remolacha,1,1,1
Cauca,Toribio,Hortalizas,Repollo,4,4,27
Cauca,Toribio,Hortalizas,Tomate,4,4,82
Cauca,Toribio,Hortalizas,Zanahoria,10,10,80
Cauca,Toribio,Leguminosas,Arveja,14,14,12
Cauca,Toribio,Leguminosas,Frijol,7,6,9
Cauca,Toribio,Leguminosas,Habichuela,8,7,56
Cauca,Toribio,Otros Permanentes,Cafe,2465,2286,1927
Cauca,Toribio,Tuberculos Y Platanos,Papa,32,30,398
Cauca,Totoro,Cereales,Maiz,135,125,168
Cauca,Totoro,Cereales,Quinua,18,18,36
Cauca,Totoro,Fibras,Fique,1116,1116,1674
Cauca,Totoro,Frutales,Fresa,75,60,720
Cauca,Totoro,Frutales,Mora,62,47,470
Cauca,Totoro,Leguminosas,Arveja,36,36,25
Cauca,Totoro,Leguminosas,Frijol,70,70,100
Cauca,Totoro,Otros Permanentes,Cafe,671,551,511
Cauca,Totoro,Otros Permanentes,Cana Panelera,157,142,426
Cauca,Totoro,Plantas Aromaticas Condimentarias Y Medicinales,Plantas Aromaticas,45,45,135
Cauca,Totoro,Tuberculos Y Platanos,Papa,2580,2296,59564
Cauca,Totoro,Tuberculos Y Platanos,Ulluco,98,90,1980
Cauca,Villa Rica,Cereales,Maiz,40,40,206
Cauca,Villa Rica,Frutales,Banano,2,2,8
Cauca,Villa Rica,Frutales,Guayaba,4,3,12
Cauca,Villa Rica,Frutales,Limon,4,3,24
Cauca,Villa Rica,Frutales,Mandarina,15,14,64
Cauca,Villa Rica,Frutales,Naranja,22,21,127
Cauca,Villa Rica,Hortalizas,Ahuyama,42,42,424
Cauca,Villa Rica,Hortalizas,Pimenton,2,2,8
Cauca,Villa Rica,Hortalizas,Tomate,2,2,20
Cauca,Villa Rica,Leguminosas,Frijol,4,4,6
Cauca,Villa Rica,Leguminosas,Habichuela,8,8,40
Cauca,Villa Rica,Otros Permanentes,Cacao,70,69,41
Cauca,Villa Rica,Otros Permanentes,Cana Azucarera,4852,3173,381197
Cauca,Villa Rica,Tuberculos Y Platanos,Platano,33,31,87
Cauca,Villa Rica,Tuberculos Y Platanos,Yuca,14,14,196
Cesar,Aguachica,Cereales,Arroz,1035,1033,4967
Cesar,Aguachica,Cereales,Maiz,3330,3123,4209
Cesar,Aguachica,Fibras,Algodon,4,4,14
Cesar,Aguachica,Frutales,Mango,250,250,1500
Cesar,Aguachica,Leguminosas,Frijol,800,774,639
Cesar,Aguachica,Oleaginosas,Palma De Aceite,2200,2000,5600
Cesar,Aguachica,Otros Permanentes,Cacao,100,90,36
Cesar,Aguachica,Otros Permanentes,Cafe,960,869,572
Cesar,Aguachica,Tuberculos Y Platanos,Platano,40,40,280
Cesar,Aguachica,Tuberculos Y Platanos,Yuca,80,60,480
Cesar,Agustin Codazzi,Cereales,Arroz,340,339,1559
Cesar,Agustin Codazzi,Cereales,Maiz,1320,1260,1260
Cesar,Agustin Codazzi,Fibras,Algodon,29,29,70
Cesar,Agustin Codazzi,Frutales,Aguacate,48,30,210
Cesar,Agustin Codazzi,Frutales,Citricos,35,25,250
Cesar,Agustin Codazzi,Frutales,Lulo,144,144,1008
Cesar,Agustin Codazzi,Frutales,Mango,113,100,1500
Cesar,Agustin Codazzi,Frutales,Melon,10,10,80
Cesar,Agustin Codazzi,Frutales,Mora,31,26,204
Cesar,Agustin Codazzi,Frutales,Tomate De Arbol,55,50,500
Cesar,Agustin Codazzi,Hortalizas,Aji,15,15,120
Cesar,Agustin Codazzi,Hortalizas,Tomate,119,115,1380
Cesar,Agustin Codazzi,Leguminosas,Frijol,560,540,301
Cesar,Agustin Codazzi,Oleaginosas,Palma De Aceite,10100,8800,26400
Cesar,Agustin Codazzi,Otros Permanentes,Cacao,784,730,292
Cesar,Agustin Codazzi,Otros Permanentes,Cafe,6667,6030,3971
Cesar,Agustin Codazzi,Otros Permanentes,Cana Panelera,266,266,1064
Cesar,Agustin Codazzi,Tuberculos Y Platanos,Malanga,92,72,720
Cesar,Agustin Codazzi,Tuberculos Y Platanos,Platano,273,250,2000
Cesar,Agustin Codazzi,Tuberculos Y Platanos,Yuca,72,72,1080
Cesar,Astrea,Cereales,Maiz,1950,1774,2191
Cesar,Astrea,Frutales,Citricos,370,280,2520
Cesar,Astrea,Frutales,Patilla,110,104,1040
Cesar,Astrea,Hortalizas,Ahuyama,50,45,450
Cesar,Astrea,Oleaginosas,Palma De Aceite,300,280,784
Cesar,Astrea,Tuberculos Y Platanos,Yuca,230,180,936
Cesar,Becerril,Cereales,Arroz,1675,1668,6964
Cesar,Becerril,Cereales,Maiz,3460,3290,3839
Cesar,Becerril,Frutales,Aguacate,93,90,540
Cesar,Becerril,Frutales,Citricos,37,37,370
Cesar,Becerril,Frutales,Lulo,40,34,204
Cesar,Becerril,Frutales,Mango,78,60,600
Cesar,Becerril,Frutales,Tomate De Arbol,21,10,100
Cesar,Becerril,Leguminosas,Frijol,1000,960,826
Cesar,Becerril,Oleaginosas,Palma De Aceite,4100,3080,9240
Cesar,Becerril,Otros Permanentes,Cacao,97,60,42
Cesar,Becerril,Otros Permanentes,Cafe,771,681,449
Cesar,Becerril,Tuberculos Y Platanos,Malanga,60,48,384
Cesar,Becerril,Tuberculos Y Platanos,Platano,201,185,1480
Cesar,Becerril,Tuberculos Y Platanos,Yuca,560,510,5100
Cesar,Bosconia,Cereales,Arroz,1376,1371,5381
Cesar,Bosconia,Cereales,Maiz,80,71,53
Cesar,Bosconia,Fibras,Algodon,314,314,471
Cesar,Bosconia,Frutales,Citricos,2,2,16
Cesar,Bosconia,Frutales,Patilla,140,115,635
Cesar,Bosconia,Hortalizas,Ahuyama,20,18,180
Cesar,Bosconia,Leguminosas,Frijol,40,36,28
Cesar,Bosconia,Oleaginosas,Palma De Aceite,3590,3400,9180
Cesar,Bosconia,Tuberculos Y Platanos,Yuca,30,18,126
Cesar,Chimichagua,Cereales,Arroz,187,186,861
Cesar,Chimichagua,Cereales,Maiz,415,351,280
Cesar,Chimichagua,Frutales,Citricos,1250,980,9800
Cesar,Chimichagua,Frutales,Mango,79,10,50
Cesar,Chimichagua,Frutales,Patilla,60,55,440
Cesar,Chimichagua,Hortalizas,Ahuyama,180,150,1500
Cesar,Chimichagua,Leguminosas,Frijol,160,147,88
Cesar,Chimichagua,Oleaginosas,Palma De Aceite,315,280,700
Cesar,Chimichagua,Otros Permanentes,Cacao,28,20,12
Cesar,Chimichagua,Otros Permanentes,Cafe,175,156,103
Cesar,Chimichagua,Tuberculos Y Platanos,Platano,135,135,945
Cesar,Chimichagua,Tuberculos Y Platanos,Yuca,520,430,4300
Cesar,Chiriguana,Cereales,Arroz,783,780,3412
Cesar,Chiriguana,Cereales,Maiz,830,792,720
Cesar,Chiriguana,Cereales,Maiz Forrajero,300,300,9000
Cesar,Chiriguana,Frutales,Aguacate,12,12,54
Cesar,Chiriguana,Frutales,Citricos,90,90,720
Cesar,Chiriguana,Frutales,Lulo,40,38,190
Cesar,Chiriguana,Frutales,Mango,20,20,180
Cesar,Chiriguana,Frutales,Melon,48,42,356
Cesar,Chiriguana,Frutales,Papaya,18,10,180
Cesar,Chiriguana,Frutales,Patilla,32,28,234
Cesar,Chiriguana,Frutales,Tomate De Arbol,4,4,32
Cesar,Chiriguana,Hortalizas,Ahuyama,30,28,224
Cesar,Chiriguana,Leguminosas,Frijol,16,14,11
Cesar,Chiriguana,Oleaginosas,Palma De Aceite,3346,2800,7000
Cesar,Chiriguana,Otros Permanentes,Cacao,30,30,15
Cesar,Chiriguana,Otros Permanentes,Cafe,75,72,47
Cesar,Chiriguana,Tuberculos Y Platanos,Platano,45,5,30
